,Time 1,Obj 1,Time 2,Obj 2
0,1.0,,,
1,9.0,,,
2,9.0,,,
3,10.0,,,
4,11.0,,,
5,12.0,,,
6,12.0,,,
7,15.0,,,
8,16.0,,,
9,18.0,,,
10,19.0,,,
11,21.0,,,
12,22.0,,,
13,25.0,,,
14,26.0,,,
15,28.0,,,
16,31.0,,,
17,36.0,,,
18,42.0,,,
19,45.0,,,
20,50.0,,,
21,55.0,,,
22,61.0,,,
23,65.0,,,
24,68.0,,,
25,71.0,,,
26,74.0,,,
27,78.0,,,
28,84.0,,,
29,88.0,,,
30,92.0,,,
31,94.0,,,
32,98.0,,,
33,101.0,,,
34,104.0,,,
35,107.0,,,
36,112.0,,,
37,114.0,,,
38,117.0,,,
39,121.0,,,
40,123.0,,,
41,125.0,,,
42,128.0,,,
43,130.0,,,
44,135.0,,,
45,140.0,,,
46,141.0,,,
47,141.0,,,
48,142.0,,,
49,143.0,,,
50,144.0,,,
51,145.0,,,
52,147.0,,,
53,148.0,,,
54,149.0,,,
55,150.0,,,
56,152.0,,,
57,155.0,,,
58,156.0,,,
59,158.0,,,
60,160.0,,,
61,162.0,,,
62,163.0,,,
63,165.0,,,
64,167.0,,,
65,169.0,,,
66,171.0,,,
67,171.0,,,
68,173.0,,,
69,175.0,,,
70,176.0,,,
71,177.0,,,
72,179.0,,,
73,182.0,,,
74,185.0,,,
75,188.0,,,
76,189.0,,,
77,192.0,,,
78,193.0,,,
79,193.0,,,
80,194.0,,,
81,196.0,,,
82,197.0,,,
83,199.0,,,
84,200.0,,,
85,201.0,,,
86,204.0,,,
87,207.0,,,
88,208.0,,,
89,210.0,,,
90,212.0,,,
91,214.0,,,
92,217.0,,,
93,219.0,,,
94,221.0,,,
95,222.0,,,
96,223.0,,,
97,224.0,,,
98,227.0,,,
99,230.0,,,
100,233.0,,,
101,235.0,,,
102,239.0,,,
103,241.0,,,
104,243.0,,,
105,245.0,,,
106,248.0,,,
107,251.0,,,
108,256.0,,,
109,260.0,,,
110,265.0,,,
111,274.0,,,
112,280.0,,,
113,287.0,,,
114,457.0,,,
115,457.0,42.0,,
116,512.0,42.0,,
117,512.0,41.0,,
118,591.0,41.0,,
119,619.0,41.0,,
120,621.0,41.0,,
121,637.0,41.0,,
122,644.0,41.0,,
123,655.0,41.0,,
124,661.0,41.0,,
125,666.0,41.0,,
126,676.0,41.0,,
127,686.0,41.0,,
128,696.0,41.0,,
129,704.0,41.0,,
130,706.0,41.0,,
131,711.0,41.0,,
132,719.0,41.0,,
133,723.0,41.0,,
134,730.0,41.0,,
135,738.0,41.0,,
136,744.0,41.0,,
137,749.0,41.0,,
138,755.0,41.0,,
139,762.0,41.0,,
140,768.0,41.0,,
141,772.0,41.0,,
142,778.0,41.0,,
143,785.0,41.0,,
144,791.0,41.0,,
145,798.0,41.0,,
146,803.0,41.0,,
147,807.0,41.0,,
148,812.0,41.0,,
149,817.0,41.0,,
150,820.0,41.0,,
151,827.0,41.0,,
152,834.0,41.0,,
153,841.0,41.0,,
154,846.0,41.0,,
155,849.0,40.0,,
156,851.0,40.0,,
157,858.0,40.0,,
158,863.0,40.0,,
159,867.0,40.0,,
160,870.0,40.0,,
161,893.0,40.0,,
162,893.0,37.0,,
163,893.0,34.0,,
164,904.0,34.0,,
165,907.0,34.0,,
166,914.0,34.0,,
167,933.0,34.0,,
168,1000.0,34.0,,
169,1051.0,34.0,,
170,1113.0,34.0,,
171,1185.0,34.0,,
172,1246.0,34.0,,
173,1298.0,34.0,,
174,1345.0,34.0,,
175,1399.0,34.0,,
176,1450.0,34.0,,
177,1514.0,34.0,,
178,1567.0,34.0,,
179,1645.0,34.0,,
180,1645.0,30.0,,
181,1645.0,29.0,,
182,1707.0,29.0,,
183,1770.0,29.0,,
184,1840.0,29.0,,
185,1909.0,29.0,,
186,1910.0,29.0,,
187,1990.0,29.0,,
188,2077.0,29.0,,
189,2158.0,29.0,,
190,2234.0,29.0,,
191,2315.0,29.0,,
192,2410.0,29.0,,
193,2507.0,29.0,,
194,2591.0,29.0,,
195,2678.0,29.0,,
196,2783.0,29.0,,
197,2783.0,22.0,,
198,2877.0,22.0,,
199,2976.0,22.0,,
200,3075.0,22.0,,
201,3183.0,22.0,,
202,3277.0,22.0,,
203,3379.0,22.0,,
204,3380.0,22.0,,
205,3487.0,22.0,,
206,3584.0,22.0,,
207,3694.0,22.0,,
208,3798.0,22.0,,
209,3894.0,22.0,,
210,3990.0,22.0,,
211,4093.0,22.0,,
212,4189.0,22.0,,
213,4293.0,22.0,,
214,4398.0,22.0,,
215,4512.0,22.0,,
216,4615.0,22.0,,
217,4707.0,22.0,,
218,4799.0,22.0,,
219,4894.0,22.0,,
220,4994.0,22.0,,
221,4994.0,20.0,,
222,4995.0,20.0,,
223,5087.0,20.0,,
224,5192.0,20.0,,
225,5292.0,20.0,,
226,5389.0,20.0,,
227,5479.0,20.0,,
228,5560.0,20.0,,
229,5647.0,20.0,,
230,5738.0,20.0,,
231,5831.0,20.0,,
232,5925.0,20.0,,
233,6021.0,20.0,,
234,6118.0,20.0,,
235,6222.0,20.0,,
236,6320.0,20.0,,
237,6409.0,20.0,,
238,6504.0,20.0,,
239,6599.0,20.0,,
240,6600.0,20.0,,
